,question,answer,image_src
0,Which of the following types of sensory information is compromised by lesions of the structure at site X in the photograph shown?,"['Conscious proprioception', 'Pain sensation', 'Two-point discrimination', 'Unconscious proprioception', 'Vibration sense']",https://www.starttest.com/ITDVersions/19.3.0.1/itdmedia.aspx?data=MTczNTczODExOCwxOS4zLjAuMSwxNDI3NDc4OCwzMCwyMDA5LEVOVSwzOUQ3QTQ3RC0zOTM4LTRDMTItQTlDMC1BQUQ3MTlDMkRBNTUsLDMyLDAsMCwsLDIsMSxlZGdlLDA%3d-362FcTdiSQo%3d&cv=2&programid=30&language=ENU&urid=6-1330-ENU-CBSSA2022-CBSSA-A0010-1/019652.JPG
1,"An 8-year-old boy continues to bleed excessively after tooth extraction. Prothrombin time, bleeding time, and platelet count are within the reference range. Partial thromboplastin time is prolonged but corrects after addition to the assay chamber of plasma from a patient with hemophilia A. Which of the following is the most likely diagnosis?","['Acute disseminated intravascular coagulation', 'Factor V (proaccelerin) deficiency', 'Factor VII (proconvertin) deficiency', 'Hemophilia B', 'Immune thrombocytopenic purpura', 'von Willebrand disease']",no_image
2,A 23-year-old man in the emergency department has apnea and pinpoint pupils. Needle tracks are present on his arms. Activation of which of the following opioid receptors in the central nervous system is most likely to be responsible for the apnea?,"['δ', 'κ', 'μ', 'σ']",no_image
3,The graph shows changes in serum estradiol concentration during a normal menstrual cycle. Which of the following ovarian cells is primarily responsible for the aromatization of androstenedione to estradiol at the time indicated by the arrow?,"['Granulosa', 'Luteal', 'Stromal', 'Theca externa', 'Theca interna']",https://www.starttest.com/ITDVersions/19.3.0.1/itdmedia.aspx?data=MTY4NjUxMzE2NCwxOS4zLjAuMSwxNDI3NDc4OCwzMCwyMDA5LEVOVSw2OEFGNkQ4My04NDM3LTQ2MzEtQUIzNC1BMjNDNUEyMUUzMEUsLDMyLDAsMCwsLDIsMSxlZGdlLDA%3d-zVw5c4gM03s%3d&cv=2&programid=30&language=ENU&urid=6-1330-ENU-CBSSA2022-CBSSA-A0010-1/021274.gif
4,The synthesis of the enzymes necessary for the replication of the genome occurs during which of the following phases of the cell cycle?,"['A', 'B', 'C', 'D', 'E']",https://www.starttest.com/ITDVersions/19.3.0.1/itdmedia.aspx?data=ODQ2NTkyMjkyLDE5LjMuMC4xLDE0Mjc0Nzg4LDMwLDIwMDksRU5VLDAwNDJFNzA3LTcxMTQtNDVBQi1BNEM3LUU4QzQ2NDY5MDZFNSwsMzIsMCwwLCwsMiwxLGVkZ2UsMA%3d%3d-WDHp7O7iMaU%3d&cv=2&programid=30&language=ENU&urid=6-1330-ENU-CBSSA2022-CBSSA-A0010-1/021312.gif
5,The diagram shows the major factors that determine blood pressure. Which of the following labeled factors is affected most by an  α1-adrenergic antagonist?,"['A', 'B', 'C', 'D', 'E']",https://www.starttest.com/ITDVersions/19.3.0.1/itdmedia.aspx?data=OTA0NzcxNDI1LDE5LjMuMC4xLDE0Mjc0Nzg4LDMwLDIwMDksRU5VLDgxODZBRTBBLTJDMDQtNDU4QS1BRDlCLTg0RkJBMUREREI2MSwsMzIsMCwwLCwsMiwxLGVkZ2UsMA%3d%3d-BR4uYZGY%2f2I%3d&cv=2&programid=30&language=ENU&urid=6-1330-ENU-CBSSA2022-CBSSA-A0010-1/013458.GIF
6,Failure of normal differentiation of the endoderm in the embryonic lung bud is most likely to affect the development of which of the following?,"['Capillary patterns', 'Cartilage in bronchi', 'Smooth muscle on the bronchi', 'Surfactant secretion', 'Tracheal rings']",no_image
7,"A 23-year-old woman has had the lesions shown in her mouth for 3 days. She has had frequent similar episodes over the past 15 years. The lesions are exacerbated by spicy, salty, and acidic food and drinks. They last approximately 1 week and resolve spontaneously. Visits to the dentist seem to trigger the development of the sores. Which of the following is the most likely diagnosis?","['Aphthous ulcers', 'Candidiasis', 'Geographic tongue', 'Koplik spots', 'Leukoplakia', 'Lichen planus', 'Psoriasis']",https://www.starttest.com/ITDVersions/19.3.0.1/itdmedia.aspx?data=ODI0NzYxMzkwLDE5LjMuMC4xLDE0Mjc0Nzg4LDMwLDIwMDksRU5VLDY5ODYyNzBFLURGQ0YtNDVCNS1CRTBELTUyRTNCNTlEQTUyOCwsMzIsMCwwLCwsMiwxLGVkZ2UsMA%3d%3d-vrGMEJXVNlM%3d&cv=2&programid=30&language=ENU&urid=6-1330-ENU-CBSSA2022-CBSSA-A0010-1/023215.jpg
8,Which of the following is most directly responsible for concentrating testosterone in the lumen of the seminiferous tubules?,"['Androgen-binding protein', 'Follicle-stimulating hormone (FSH)', 'FSH/gonadotropin-releasing hormone', 'Inhibin', 'Luteinizing hormone']",no_image
9,A 53-year-old man has had progressive difficulty swallowing for the past  3 months. He has a 10-year history of heartburn with esophageal regurgitation of gastric contents. Tissue obtained on biopsy of the lower third of the esophagus is shown. Which of the following best describes the nature of this lesion?,"['Basal zone hyperplasia of submucosal glands', 'Intestinal metaplasia of squamous epithelium', 'Malignant transformation of epithelium into squamous carcinoma', 'Squamous metaplasia of submucosal glands']",https://www.starttest.com/ITDVersions/19.3.0.1/itdmedia.aspx?data=NjM1NzMzNjY0LDE5LjMuMC4xLDE0Mjc0Nzg4LDMwLDIwMDksRU5VLEEzMzZCMEMwLUY0MDMtNEZDMC1CNEVCLTk1MzZCNjNBREE1NywsMzIsMCwwLCwsMiwxLGVkZ2UsMA%3d%3d-HdlgN482vFw%3d&cv=2&programid=30&language=ENU&urid=6-1330-ENU-CBSSA2022-CBSSA-A0010-1/014136B.JPG
